# packages in environment at /ext3/miniforge3/envs/BiaPy_env:
#
# Name                                  Version          Build                               Channel
hdf5                                    2.1.0            nompi_h735b18d_107                  conda-forge
hf-xet                                  1.5.0            py310hb823017_0                     conda-forge
hicolor-icon-theme                      0.17             ha770c72_3                          conda-forge
hpack                                   4.1.0            pyhd8ed1ab_0                        conda-forge
httpcore                                1.0.9            pyh29332c3_0                        conda-forge
httpx                                   0.28.1           pyhd8ed1ab_0                        conda-forge
huggingface_hub                         1.18.0           pyhd8ed1ab_0                        conda-forge
hyperframe                              6.1.0            pyhd8ed1ab_0                        conda-forge
icu                                     78.3             h33c6efd_0                          conda-forge
idna                                    3.18             pyhcf101f3_0                        conda-forge
imagecodecs                             2026.3.6         py311h5d55412_3                     conda-forge
imageio                                 2.37.0           pyhfb79c49_0                        conda-forge
imath                                   3.2.2            hde8ca8f_0                          conda-forge
importlib-metadata                      9.0.0            pyhcf101f3_0                        conda-forge
intel-gmmlib                            22.10.0          hb700be7_0                          conda-forge
intel-media-driver                      26.1.6           hecca717_0                          conda-forge
jinja2                                  3.1.6            pyhcf101f3_1                        conda-forge
joblib                                  1.5.3            pyhd8ed1ab_0                        conda-forge
jxrlib                                  1.1              hd590300_3                          conda-forge
keyutils                                1.6.3            hb9d3cd8_0                          conda-forge
kiwisolver                              1.5.0            py311h724c32c_0                     conda-forge
krb5                                    1.22.2           ha1258a1_0                          conda-forge
lame                                    3.100            h166bdaf_1003                       conda-forge
lazy-loader                             0.5              pyhd8ed1ab_0                        conda-forge
lcms2                                   2.19.1           h0c24ade_1                          conda-forge
ld_impl_linux-64                        2.45.1           default_hbd61a6d_102                conda-forge
lerc                                    4.1.0            hdb68285_0                          conda-forge
level-zero                              1.29.0           hb700be7_0                          conda-forge
libabseil                               20260107.1       cxx17_h7b12aa8_0                    conda-forge
libaec                                  1.1.5            h088129d_0                          conda-forge
libass                                  0.17.4           h96ad9f0_0                          conda-forge
libavif16                               1.4.2            hf998032_1                          conda-forge
libblas                                 3.11.0           8_h4a7cf45_openblas                 conda-forge
libbrotlicommon                         1.2.0            hb03c661_1                          conda-forge
libbrotlidec                            1.2.0            hb03c661_1                          conda-forge
libbrotlienc                            1.2.0            hb03c661_1                          conda-forge
libcap                                  2.78             hd0affe5_0                          conda-forge
libcblas                                3.11.0           8_h0358290_openblas                 conda-forge
libcublas                               13.5.1.27        h676940d_0                          conda-forge
libcudnn                                9.23.1.3         ha4b6413_0                          conda-forge
libcudss                                0.7.1.4          h7bcfba5_1                          conda-forge
libcufft                                12.3.0.29        hecca717_0                          conda-forge
libcufile                               1.18.0.66        h85c024f_0                          conda-forge
libcups                                 2.3.3            h7a8fb5f_6                          conda-forge
libcurand                               10.4.3.29        h676940d_0                          conda-forge
libcurl                                 8.20.0           hcf29cc6_0                          conda-forge
libcusolver                             12.2.2.18        h676940d_0                          conda-forge
libcusparse                             12.8.1.7         hecca717_0                          conda-forge
libdeflate                              1.25             h17f619e_0                          conda-forge
libdovi                                 3.3.2            ha23c83e_4                          conda-forge
libdrm                                  2.4.127          hb03c661_0                          conda-forge
libedit                                 3.1.20250104     pl5321h7949ede_0                    conda-forge
libegl                                  1.7.0            ha4b6fd6_3                          conda-forge
libegl-devel                            1.7.0            ha4b6fd6_3                          conda-forge
libev                                   4.33             hd590300_2                          conda-forge
libexpat                                2.8.1            hecca717_1                          conda-forge
libffi                                  3.5.2            h3435931_0                          conda-forge
libflac                                 1.5.0            he200343_1                          conda-forge
libfreetype                             2.14.3           ha770c72_0                          conda-forge
libfreetype6                            2.14.3           h73754d4_0                          conda-forge
libgcc                                  15.2.0           he0feb66_19                         conda-forge
libgcc-ng                               15.2.0           h69a702a_19                         conda-forge
libgd                                   2.3.3            h5fbf134_12                         conda-forge
libgfortran                             15.2.0           h69a702a_19                         conda-forge
libgfortran5                            15.2.0           h68bc16d_19                         conda-forge
libgl                                   1.7.0            ha4b6fd6_3                          conda-forge
libgl-devel                             1.7.0            ha4b6fd6_3                          conda-forge
libglib                                 2.88.1           h0d30a3d_2                          conda-forge
libglvnd                                1.7.0            ha4b6fd6_3                          conda-forge
libglx                                  1.7.0            ha4b6fd6_3                          conda-forge
libglx-devel                            1.7.0            ha4b6fd6_3                          conda-forge
libhwloc                                2.13.0           default_he001693_1000               conda-forge
libhwy                                  1.4.0            h10be129_0                          conda-forge
libiconv                                1.18             h3b78370_2                          conda-forge
libjpeg-turbo                           3.1.4.1          hb03c661_0                          conda-forge
libjxl                                  0.11.2           h174a0a3_1                          conda-forge
liblapack                               3.11.0           8_h47877c9_openblas                 conda-forge
liblapacke                              3.11.0           8_h6ae95b6_openblas                 conda-forge
liblzma                                 5.8.3            hb03c661_0                          conda-forge
libmagma                                2.10.0           hd93470c_0                          conda-forge
libnghttp2                              1.68.1           h877daf1_0                          conda-forge
libnl                                   3.11.0           hb9d3cd8_0                          conda-forge
libnsl                                  2.0.1            hb9d3cd8_1                          conda-forge
libntlm                                 1.8              hb9d3cd8_0                          conda-forge
libnvjitlink                            13.3.33          hecca717_0                          conda-forge
libnvjpeg                               13.2.0.21        hecca717_0                          conda-forge
libogg                                  1.3.5            hd0c01bc_1                          conda-forge
libopenblas                             0.3.33           openmp_hd680484_0                   conda-forge
libopencv                               4.13.0           qt6_py311h775604a_610               conda-forge
libopenvino                             2026.2.0         hb56ce9e_0                          conda-forge
libopenvino-auto-batch-plugin           2026.2.0         hd85de46_0                          conda-forge
libopenvino-auto-plugin                 2026.2.0         hd85de46_0                          conda-forge
libopenvino-hetero-plugin               2026.2.0         hd41364c_0                          conda-forge
libopenvino-intel-cpu-plugin            2026.2.0         hb56ce9e_0                          conda-forge
libopenvino-intel-gpu-plugin            2026.2.0         hb56ce9e_0                          conda-forge
libopenvino-intel-npu-plugin            2026.2.0         hb56ce9e_0                          conda-forge
libopenvino-ir-frontend                 2026.2.0         hd41364c_0                          conda-forge
libopenvino-onnx-frontend               2026.2.0         h7a07914_0                          conda-forge
libopenvino-paddle-frontend             2026.2.0         h7a07914_0                          conda-forge
libopenvino-pytorch-frontend            2026.2.0         hecca717_0                          conda-forge
libopenvino-tensorflow-frontend         2026.2.0         h78e8023_0                          conda-forge
libopenvino-tensorflow-lite-frontend    2026.2.0         hecca717_0                          conda-forge
libopus                                 1.6.1            h280c20c_0                          conda-forge
libpciaccess                            0.19             hb03c661_0                          conda-forge
libplacebo                              7.360.1          h9eeb4b2_0                          conda-forge
libpng                                  1.6.58           h421ea60_0                          conda-forge
libpq                                   18.4             hd5a49e9_0                          conda-forge
libprotobuf                             6.33.5           h6eeba95_1                          conda-forge
libraqm                                 0.10.5           h75b3fb1_0                          conda-forge
librsvg                                 2.62.3           h4c96295_0                          conda-forge
libsndfile                              1.2.2            hc7d488a_2                          conda-forge
libsqlite                               3.53.2           h0c1763c_0                          conda-forge
libssh2                                 1.11.1           hcf80075_0                          conda-forge
libstdcxx                               15.2.0           h934c35e_19                         conda-forge
libstdcxx-ng                            15.2.0           hdf11a46_19                         conda-forge
libsystemd0                             260.2            h6f4a2f1_1                          conda-forge
libtiff                                 4.7.1            h9d88235_1                          conda-forge
libtorch                                2.10.0           cuda130_generic_h7d455c8_205        conda-forge
libudev1                                260.2            h6f4a2f1_1                          conda-forge
libunwind                               1.8.3            h65a8314_0                          conda-forge
liburing                                2.14             hb700be7_0                          conda-forge
libusb                                  1.0.29           h73b1eb8_0                          conda-forge
libuuid                                 2.42.2           h5347b49_0                          conda-forge
libuv                                   1.52.1           h280c20c_0                          conda-forge
libva                                   2.23.0           he1eb515_0                          conda-forge
libvorbis                               1.3.7            h54a6638_2                          conda-forge
libvpl                                  2.16.0           h54a6638_0                          conda-forge
libvpx                                  1.15.2           hecca717_0                          conda-forge
libvulkan-loader                        1.4.341.0        h5279c79_0                          conda-forge
libwebp-base                            1.6.0            hd42ef1d_0                          conda-forge
libxcb                                  1.17.0           h8a09558_0                          conda-forge
libxcrypt                               4.4.36           hd590300_1                          conda-forge
libxkbcommon                            1.13.2           hca5e8e5_0                          conda-forge
libxml2                                 2.15.3           h49c6c72_0                          conda-forge
libxml2-16                              2.15.3           hca6bf5a_0                          conda-forge
libzlib                                 1.3.2            h25fd6f3_2                          conda-forge
libzopfli                               1.0.3            h9c3ff4c_0                          conda-forge
lightning-utilities                     0.15.3           pyhd8ed1ab_0                        conda-forge
llvm-openmp                             22.1.7           h4922eb0_0                          conda-forge
loguru                                  0.7.3            pyh707e725_0                        conda-forge
lz4-c                                   1.10.0           h5888daf_1                          conda-forge
markdown                                3.10.2           pyhcf101f3_0                        conda-forge
markdown-it-py                          4.2.0            pyhd8ed1ab_0                        conda-forge
markupsafe                              3.0.3            py311h3778330_1                     conda-forge
matplotlib-base                         3.11.0           py311hd013d2e_0                     conda-forge
mdurl                                   0.1.2            pyhd8ed1ab_1                        conda-forge
mpc                                     1.4.0            he0a73b1_0                          conda-forge
mpfr                                    4.2.2            he0a73b1_0                          conda-forge
mpg123                                  1.32.9           hc50e24c_0                          conda-forge
mpmath                                  1.3.0            pyhd8ed1ab_1                        conda-forge
msgpack-python                          1.1.2            py311hdf67eae_1                     conda-forge
munkres                                 1.1.4            pyhd8ed1ab_1                        conda-forge
narwhals                                2.22.1           pyhcf101f3_0                        conda-forge
nccl                                    2.30.7.1         h1aa9b5a_0                          conda-forge
ncurses                                 6.6              hdb14827_0                          conda-forge
networkx                                3.6.1            pyhcf101f3_0                        conda-forge
nomkl                                   1.0              h5ca1d4c_0                          conda-forge
numcodecs                               0.15.1           py311hed34c8f_1                     conda-forge
numpy                                   2.4.6            py311h2e04523_0                     conda-forge
ocl-icd                                 2.3.4            hb03c661_1                          conda-forge
opencl-headers                          2025.06.13       hecca717_0                          conda-forge
opencv                                  4.13.0           qt6_py311hcb8ce70_610               conda-forge
openexr                                 3.4.12           h9f1635d_0                          conda-forge
openh264                                2.6.0            hc22cd8d_0                          conda-forge
openjpeg                                2.5.4            h55fea9a_0                          conda-forge
openjph                                 0.27.4           h8d634f6_0                          conda-forge
openldap                                2.6.13           hbde042b_0                          conda-forge
openssl                                 3.6.3            h35e630c_0                          conda-forge
optree                                  0.19.1           py311hdf67eae_0                     conda-forge
packaging                               26.2             pyhc364b38_0                        conda-forge
pandas                                  3.0.3            py311h8032f78_0                     conda-forge
pango                                   1.56.4           hda50119_1                          conda-forge
pcre2                                   10.47            haa7fec5_0                          conda-forge
pillow                                  12.2.0           py311hf88fc01_0                     conda-forge
pip                                     26.1.2           pyh8b19718_0                        conda-forge
pixman                                  0.46.4           h54a6638_1                          conda-forge
platformdirs                            4.10.0           pyhcf101f3_0                        conda-forge
pooch                                   1.9.0            pyhd8ed1ab_0                        conda-forge
protobuf                                6.33.5           py311h3f0a9aa_2                     conda-forge
pthread-stubs                           0.4              hb9d3cd8_1002                       conda-forge
pugixml                                 1.15             h3f63f65_0                          conda-forge
pulseaudio-client                       17.0             h9a6aba3_3                          conda-forge
py-opencv                               4.13.0           qt6_py311h8c533ea_610               conda-forge
pybind11                                3.0.1            pyh7a1b43c_0                        conda-forge
pybind11-abi                            11               hc364b38_1                          conda-forge
pybind11-global                         3.0.1            pyhc7ab6ef_0                        conda-forge
pydantic                                2.9.2            pyhd8ed1ab_0                        conda-forge
pydantic-core                           2.23.4           py311h9e33e62_0                     conda-forge
pydantic-settings                       2.14.1           pyhcf101f3_0                        conda-forge
pydot                                   4.0.1            pyhcf101f3_2                        conda-forge
pygments                                2.20.0           pyhd8ed1ab_0                        conda-forge
pyparsing                               3.3.2            pyhcf101f3_0                        conda-forge
pysocks                                 1.7.1            pyha55dd90_7                        conda-forge
python                                  3.11.15          h7508c33_1_cpython                  conda-forge
python-dateutil                         2.9.0.post0      pyhe01879c_2                        conda-forge
python-dotenv                           1.2.2            pyhcf101f3_0                        conda-forge
python-gil                              3.11.15          hd8ed1ab_1                          conda-forge
python_abi                              3.11             8_cp311                             conda-forge
pytorch                                 2.10.0           cuda130_generic_py311_h70e8297_205  conda-forge
pytorch-msssim                          1.0.0            pyhd8ed1ab_0                        conda-forge
pyyaml                                  6.0.3            py311h3778330_1                     conda-forge
qhull                                   2020.2           h434a139_5                          conda-forge
qt6-main                                6.11.1           pl5321h16c4a6b_1                    conda-forge
rav1e                                   0.8.1            h1fbca29_0                          conda-forge
rdma-core                               63.0             h192683f_1                          conda-forge
readline                                8.3              h853b02a_0                          conda-forge
requests                                2.34.2           pyhcf101f3_0                        conda-forge
rich                                    15.0.0           pyhcf101f3_0                        conda-forge
ruyaml                                  0.91.0           pyhd8ed1ab_1                        conda-forge
s2n                                     1.7.3            hc5a330e_0                          conda-forge
safetensors                             0.8.0            py311h902ca64_0                     conda-forge
scikit-image                            0.26.0           np2py311h2a99c40_0                  conda-forge
scikit-learn                            1.9.0            np2py311ha15b03d_0                  conda-forge
scipy                                   1.17.1           py311hbe70eeb_1                     conda-forge
sdl2                                    2.32.56          h54a6638_0                          conda-forge
sdl3                                    3.4.10           hdeec2a5_0                          conda-forge
setuptools                              82.0.1           pyh332efcf_0                        conda-forge
shaderc                                 2026.2           h718be3e_0                          conda-forge
shellingham                             1.5.4            pyhd8ed1ab_2                        conda-forge
six                                     1.17.0           pyhe01879c_1                        conda-forge
sleef                                   3.9.0            ha0421bc_0                          conda-forge
snappy                                  1.2.2            h03e3b7b_1                          conda-forge
sniffio                                 1.3.1            pyhd8ed1ab_2                        conda-forge
spirv-tools                             2026.2           hb700be7_0                          conda-forge
svt-av1                                 4.0.1            hecca717_0                          conda-forge
sympy                                   1.14.0           pyh2585a3b_106                      conda-forge
tbb                                     2023.0.0         hab88423_2                          conda-forge
tensorboardx                            2.6.2.2          pyhd8ed1ab_1                        conda-forge
threadpoolctl                           3.6.0            pyhecae5ae_0                        conda-forge
tifffile                                2026.3.3         pyhd8ed1ab_0                        conda-forge
timm                                    1.0.14           pyhd8ed1ab_0                        conda-forge
tk                                      8.6.13           noxft_h366c992_103                  conda-forge
torchinfo                               1.8.0            pyhd8ed1ab_1                        conda-forge
torchmetrics                            1.4.3            pyhe5570ce_0                        conda-forge
torchvision                             0.26.0           cuda130_py311_h6eecc49_0            conda-forge
tqdm                                    4.68.2           pyh8f84b5b_1                        conda-forge
triton                                  3.6.0            cuda130py311h280606b_2              conda-forge
typer                                   0.25.1           pyhcf101f3_0                        conda-forge
typing-extensions                       4.15.0           h396c80c_0                          conda-forge
typing-inspection                       0.4.2            pyhcf101f3_2                        conda-forge
typing_extensions                       4.15.0           pyhcf101f3_0                        conda-forge
tzdata                                  2025c            hc9c84f9_1                          conda-forge
unicodedata2                            17.0.1           py311h49ec1c0_0                     conda-forge
urllib3                                 2.7.0            pyhd8ed1ab_0                        conda-forge
wayland                                 1.25.0           hd6090a7_0                          conda-forge
wayland-protocols                       1.49             hd8ed1ab_0                          conda-forge
wheel                                   0.47.0           pyhd8ed1ab_0                        conda-forge
wrapt                                   2.2.1            py311h49ec1c0_0                     conda-forge
x264                                    1!164.3095       h166bdaf_2                          conda-forge
x265                                    3.5              h924138e_3                          conda-forge
xarray                                  2025.1.2         pyhd8ed1ab_0                        conda-forge
xcb-util                                0.4.1            h4f16b4b_2                          conda-forge
xcb-util-cursor                         0.1.6            hb03c661_0                          conda-forge
xcb-util-image                          0.4.0            hb711507_2                          conda-forge
xcb-util-keysyms                        0.4.1            hb711507_0                          conda-forge
xcb-util-renderutil                     0.3.10           hb711507_0                          conda-forge
xcb-util-wm                             0.4.2            hb711507_0                          conda-forge
xkeyboard-config                        2.47             h280c20c_1                          conda-forge
xorg-libice                             1.1.2            hb9d3cd8_0                          conda-forge
xorg-libsm                              1.2.6            he73a12e_0                          conda-forge
xorg-libx11                             1.8.13           he1eb515_0                          conda-forge
xorg-libxau                             1.0.12           hb03c661_1                          conda-forge
xorg-libxcomposite                      0.4.7            hb03c661_0                          conda-forge
xorg-libxcursor                         1.2.3            hb9d3cd8_0                          conda-forge
xorg-libxdamage                         1.1.6            hb9d3cd8_0                          conda-forge
xorg-libxdmcp                           1.1.5            hb03c661_1                          conda-forge
xorg-libxext                            1.3.7            hb03c661_0                          conda-forge
xorg-libxfixes                          6.0.2            hb03c661_0                          conda-forge
xorg-libxi                              1.8.3            hb03c661_0                          conda-forge
xorg-libxinerama                        1.1.6            hecca717_0                          conda-forge
xorg-libxrandr                          1.5.5            hb03c661_0                          conda-forge
xorg-libxrender                         0.9.12           hb9d3cd8_0                          conda-forge
xorg-libxscrnsaver                      1.2.4            hb9d3cd8_0                          conda-forge
xorg-libxtst                            1.2.5            hb9d3cd8_3                          conda-forge
xorg-libxxf86vm                         1.1.7            hb03c661_0                          conda-forge
xorg-xorgproto                          2025.1           hb03c661_0                          conda-forge
yacs                                    0.1.8            pyh29332c3_2                        conda-forge
yaml                                    0.2.5            h280c20c_3                          conda-forge
zarr                                    2.18.7           pyhd8ed1ab_0                        conda-forge
zfp                                     1.0.1            h909a3a2_5                          conda-forge
zipp                                    4.1.0            pyhcf101f3_0                        conda-forge
zlib-ng                                 2.3.3            hceb46e0_1                          conda-forge
zstd                                    1.5.7            hb78ec9c_6                          conda-forge
Date     : 2026-06-30 16:07:21
Arguments: Namespace(config='./BiaPy/3d_instance_segmentation.yaml', result_dir='./BiaPy/results', name='train_Dn_3d_instance_segmentation', run_id=1, gpu='0', world_size=1, local_rank=-1, dist_on_itp=False, dist_url='env://', dist_backend='nccl')
Job      : train_Dn_3d_instance_segmentation_1
BiaPy    : 3.6.8
Python   : 3.11.15 | packaged by conda-forge | (main, Jun 11 2026, 03:34:02) [GCC 14.3.0]
PyTorch  : 2.10.0
The following changes were made in order to adapt the input configuration:
Not using distributed mode
[16:07:22.241840] WARNING: seems that the channels requested are custom so BiaPy did not fill some varibles by default.
You will need to fill the following variables:
    - PROBLEM.INSTANCE_SEG.WATERSHED.SEED_CHANNELS
    - PROBLEM.INSTANCE_SEG.WATERSHED.SEED_CHANNELS_THRESH
    - PROBLEM.INSTANCE_SEG.WATERSHED.TOPOGRAPHIC_SURFACE_CHANNEL
    - PROBLEM.INSTANCE_SEG.WATERSHED.GROWTH_MASK_CHANNELS
    - PROBLEM.INSTANCE_SEG.WATERSHED.GROWTH_MASK_CHANNELS_THRESH

[16:07:22.257769] Configuration details:
[16:07:22.257779] AUGMENTOR:
  AFFINE_MODE: reflect
  AUG_NUM_SAMPLES: 10
  AUG_SAMPLES: True
  BRIGHTNESS: False
  BRIGHTNESS_FACTOR: (-0.1, 0.1)
  CBLUR_DOWN_RANGE: (2, 8)
  CBLUR_INSIDE: True
  CBLUR_SIZE: (0.2, 0.4)
  CHANNEL_SHUFFLE: False
  CMIX_SIZE: (0.2, 0.4)
  CNOISE_NB_ITERATIONS: (1, 3)
  CNOISE_SCALE: (0.05, 0.1)
  CNOISE_SIZE: (0.2, 0.4)
  CONTRAST: False
  CONTRAST_FACTOR: (-0.1, 0.1)
  COUT_APPLY_TO_MASK: False
  COUT_CVAL: 0.0
  COUT_NB_ITERATIONS: (1, 3)
  COUT_SIZE: (0.05, 0.3)
  CUTBLUR: False
  CUTMIX: False
  CUTNOISE: False
  CUTOUT: False
  DA_PROB: 0.5
  DRAW_GRID: True
  DROPOUT: False
  DROP_RANGE: (0, 0.2)
  ELASTIC: False
  ENABLE: True
  E_ALPHA: (12, 16)
  E_MODE: constant
  E_SIGMA: 4
  GAMMA_CONTRAST: False
  GAUSSIAN_NOISE: False
  GAUSSIAN_NOISE_MEAN: 0.0
  GAUSSIAN_NOISE_USE_INPUT_IMG_MEAN_AND_VAR: False
  GAUSSIAN_NOISE_VAR: 0.05
  GC_GAMMA: (1.25, 1.75)
  GRAYSCALE: False
  GRIDMASK: False
  GRID_D_RANGE: (0.4, 1)
  GRID_INVERT: False
  GRID_RATIO: 0.6
  GRID_ROTATE: 1.0
  G_BLUR: False
  G_SIGMA: (1.0, 2.0)
  HFLIP: True
  MB_KERNEL: (3, 7)
  MEDIAN_BLUR: False
  MISALIGNMENT: False
  MISSING_SECTIONS: False
  MISSP_CHANNEL_PB: 0.5
  MISSP_ITERATIONS: (10, 30)
  MOTB_K_RANGE: (8, 12)
  MOTION_BLUR: False
  MS_DISPLACEMENT: 16
  MS_ROTATE_RATIO: 0.5
  PEPPER: False
  PEPPER_AMOUNT: 0.05
  POISSON_NOISE: False
  RANDOM_ROT: True
  RANDOM_ROT_RANGE: (-180, 180)
  ROT90: False
  SALT: False
  SALT_AMOUNT: 0.05
  SALT_AND_PEPPER: False
  SALT_AND_PEPPER_AMOUNT: 0.05
  SALT_AND_PEPPER_PROP: 0.5
  SHEAR: False
  SHEAR_RANGE: (-20, 20)
  SHIFT: False
  SHIFT_RANGE: (0.1, 0.2)
  SHUFFLE_TRAIN_DATA_EACH_EPOCH: True
  SHUFFLE_VAL_DATA_EACH_EPOCH: False
  VFLIP: True
  ZFLIP: True
  ZOOM: False
  ZOOM_IN_Z: False
  ZOOM_RANGE: (0.8, 1.2)
DATA:
  CHECK_GENERATORS: False
  FILTER_BY_IMAGE: False
  FORCE_RGB: False
  NORMALIZATION:
    MEASURE_BY: image
    PERC_CLIP:
      ENABLE: False
      LOWER_PERC: -1.0
      LOWER_VALUE: -1.0
      UPPER_PERC: -1.0
      UPPER_VALUE: -1.0
    TYPE: zero_mean_unit_variance
    ZERO_MEAN_UNIT_VAR:
      MEAN_VAL: -1.0
      STD_VAL: -1.0
  N_CLASSES: 2
  PATCH_SIZE: (20, 128, 128, 3)
  PREPROCESS:
    CANNY:
      ENABLE: False
      HIGH_THRESHOLD: None
      LOW_THRESHOLD: None
    CLAHE:
      CLIP_LIMIT: 0.01
      ENABLE: False
      KERNEL_SIZE: None
    GAUSSIAN_BLUR:
      CHANNEL_AXIS: None
      ENABLE: False
      MODE: nearest
      SIGMA: 1
    MATCH_HISTOGRAM:
      ENABLE: False
